regatta_id,race_id,date,start_time,race_no,event,round,distance_m,lane,seed,team_name,team_id,place,time,status,page
2025_GWNC,2025-09-06-R08,2025-09-06,9:42 AM,8,MIXED 500M QUALIFYING,Qualifying,500,1,,Toronto Wyvern Club,7,2,02:14.1,,2
2025_GWNC,2025-09-06-R08,2025-09-06,9:54 AM,8,MIXED 500M QUALIFYING,Qualifying,500,2,,Water Vipers Performance,4,1,02:13.3,,2
2025_GWNC,2025-09-06-R08,2025-09-06,9:54 AM,8,MIXED 500M QUALIFYING,Qualifying,500,3,,Double Double Dragons,70,6,02:50.5,,2
2025_GWNC,2025-09-06-R08,2025-09-06,9:54 AM,8,MIXED 500M QUALIFYING,Qualifying,500,4,,Google Canada Dragons,30,3,02:30.7,,2
2025_GWNC,2025-09-06-R08,2025-09-06,9:54 AM,8,MIXED 500M QUALIFYING,Qualifying,500,5,,Boat Daddy,64,5,02:40.2,,2
2025_GWNC,2025-09-06-R08,2025-09-06,9:54 AM,8,MIXED 500M QUALIFYING,Qualifying,500,6,,KPMG Blue Steel,32,4,02:30.9,,2
2025_GWNC,2025-09-06-R09,2025-09-06,9:54 AM,9,MIXED 500M QUALIFYING,Qualifying,500,1,,Hydroshock,15,3,02:15.2,,2
2025_GWNC,2025-09-06-R09,2025-09-06,10:06 AM,9,MIXED 500M QUALIFYING,Qualifying,500,2,,Hail Marys,36,6,02:35.9,,2
2025_GWNC,2025-09-06-R09,2025-09-06,10:06 AM,9,MIXED 500M QUALIFYING,Qualifying,500,3,,Tribal Maui,48,2,02:12.2,,2
2025_GWNC,2025-09-06-R09,2025-09-06,10:06 AM,9,MIXED 500M QUALIFYING,Qualifying,500,4,,Paddlers Anonymous Dawave (DS),62,5,02:22.1,,2
2025_GWNC,2025-09-06-R09,2025-09-06,10:06 AM,9,MIXED 500M QUALIFYING,Qualifying,500,5,,Peppers UA,69,1,02:11.5,,2
2025_GWNC,2025-09-06-R09,2025-09-06,10:06 AM,9,MIXED 500M QUALIFYING,Qualifying,500,6,,Ronin Warriors,35,4,02:19.4,,2
2025_GWNC,2025-09-06-R10,2025-09-06,10:06 AM,10,MIXED 500M QUALIFYING,Qualifying,500,1,,Rusty Dragons - Barracudas,54,2,02:16.8,,2
2025_GWNC,2025-09-06-R10,2025-09-06,10:18 AM,10,MIXED 500M QUALIFYING,Qualifying,500,2,,Shiptalkers,50,3,02:22.3,,2
2025_GWNC,2025-09-06-R10,2025-09-06,10:18 AM,10,MIXED 500M QUALIFYING,Qualifying,500,3,,Holland Bloorview Infinite Waves,55,6,02:33.4,,2
2025_GWNC,2025-09-06-R10,2025-09-06,10:18 AM,10,MIXED 500M QUALIFYING,Qualifying,500,4,,True North Leviathan Black,21,1,02:01.7,,2
2025_GWNC,2025-09-06-R10,2025-09-06,10:18 AM,10,MIXED 500M QUALIFYING,Qualifying,500,5,,South Niagara Canoe Club Canal Dragons,57,5,02:25.1,,2
2025_GWNC,2025-09-06-R10,2025-09-06,10:18 AM,10,MIXED 500M QUALIFYING,Qualifying,500,6,,Sync or Swim,26,4,02:23.8,,2
2025_GWNC,2025-09-06-R11,2025-09-06,10:18 AM,11,MIXED 500M QUALIFYING,Qualifying,500,1,,TOHK Lion Rock,60,4,02:31.5,,2
2025_GWNC,2025-09-06-R11,2025-09-06,10:30 AM,11,MIXED 500M QUALIFYING,Qualifying,500,2,,Tribal Aloha,49,1,02:22.0,,2
2025_GWNC,2025-09-06-R11,2025-09-06,10:30 AM,11,MIXED 500M QUALIFYING,Qualifying,500,3,,Mutha Paddlers,56,2,02:23.4,,2
2025_GWNC,2025-09-06-R11,2025-09-06,10:30 AM,11,MIXED 500M QUALIFYING,Qualifying,500,4,,Northern Spirit (S),38,5,02:38.3,,2
2025_GWNC,2025-09-06-R11,2025-09-06,10:30 AM,11,MIXED 500M QUALIFYING,Qualifying,500,5,,The Boulevard Blazers',13,6,02:40.8,,2
2025_GWNC,2025-09-06-R11,2025-09-06,10:30 AM,11,MIXED 500M QUALIFYING,Qualifying,500,6,,Bridgepoint Blazing Paddles,51,3,02:27.8,,2
2025_GWNC,2025-09-06-R12,2025-09-06,10:30 AM,12,MIXED 500M QUALIFYING,Qualifying,500,1,,True North Leviathan Red,19,1,02:10.2,,2
2025_GWNC,2025-09-06-R12,2025-09-06,10:42 AM,12,MIXED 500M QUALIFYING,Qualifying,500,2,,Bell Blue Dragons,29,2,02:11.6,,2
